,group_label,stat_label,motion_label,representative_feature
curvature_hips_norm_abs_10th,29,10th,none,False
curvature_hips_norm_abs_50th,29,50th,none,True
curvature_hips_norm_abs_90th,18,90th,none,False
curvature_hips_norm_abs_IQR,18,IQR,none,False
curvature_hips_w_backward_abs_10th,29,10th,backward,False
curvature_hips_w_backward_abs_50th,29,50th,backward,False
curvature_hips_w_backward_abs_90th,18,90th,backward,False
curvature_hips_w_backward_abs_IQR,18,IQR,backward,False
curvature_hips_w_forward_abs_10th,29,10th,forward,False
curvature_hips_w_forward_abs_50th,18,50th,forward,False
curvature_hips_w_forward_abs_90th,18,90th,forward,False
curvature_hips_w_forward_abs_IQR,18,IQR,forward,False
curvature_hips_w_paused_abs_10th,35,10th,paused,False
curvature_hips_w_paused_abs_50th,35,50th,paused,False
curvature_hips_w_paused_abs_90th,58,90th,paused,False
curvature_hips_w_paused_abs_IQR,58,IQR,paused,False
curvature_mean_head_abs_10th,41,10th,none,False
curvature_mean_head_abs_50th,41,50th,none,False
curvature_mean_head_abs_90th,62,90th,none,False
curvature_mean_head_abs_IQR,62,IQR,none,False
curvature_mean_head_norm_abs_10th,41,10th,none,False
curvature_mean_head_norm_abs_50th,41,50th,none,True
curvature_mean_head_norm_abs_90th,62,90th,none,True
curvature_mean_head_norm_abs_IQR,62,IQR,none,False
curvature_mean_head_w_backward_abs_10th,41,10th,backward,False
curvature_mean_head_w_backward_abs_50th,41,50th,backward,False
curvature_mean_head_w_backward_abs_90th,60,90th,backward,False
curvature_mean_head_w_backward_abs_IQR,60,IQR,backward,False
curvature_mean_head_w_forward_abs_10th,41,10th,forward,False
curvature_mean_head_w_forward_abs_50th,41,50th,forward,False
curvature_mean_head_w_forward_abs_90th,62,90th,forward,False
curvature_mean_head_w_forward_abs_IQR,62,IQR,forward,False
curvature_mean_head_w_paused_abs_10th,40,10th,paused,False
curvature_mean_head_w_paused_abs_50th,40,50th,paused,False
curvature_mean_head_w_paused_abs_90th,58,90th,paused,False
curvature_mean_head_w_paused_abs_IQR,58,IQR,paused,False
curvature_mean_hips_abs_10th,29,10th,none,False
curvature_mean_hips_abs_50th,29,50th,none,False
curvature_mean_hips_abs_90th,18,90th,none,False
curvature_mean_hips_abs_IQR,18,IQR,none,False
curvature_mean_hips_norm_abs_10th,29,10th,none,False
curvature_mean_hips_norm_abs_50th,29,50th,none,False
curvature_mean_hips_norm_abs_90th,18,90th,none,False
curvature_mean_hips_norm_abs_IQR,18,IQR,none,False
curvature_mean_hips_w_backward_abs_10th,30,10th,backward,False
curvature_mean_hips_w_backward_abs_50th,30,50th,backward,False
curvature_mean_hips_w_backward_abs_90th,18,90th,backward,False
curvature_mean_hips_w_backward_abs_IQR,18,IQR,backward,False
curvature_mean_hips_w_forward_abs_10th,57,10th,forward,False
curvature_mean_hips_w_forward_abs_50th,18,50th,forward,False
curvature_mean_hips_w_forward_abs_90th,18,90th,forward,False
curvature_mean_hips_w_forward_abs_IQR,18,IQR,forward,False
curvature_mean_hips_w_paused_abs_10th,34,10th,paused,False
curvature_mean_hips_w_paused_abs_50th,34,50th,paused,False
curvature_mean_hips_w_paused_abs_90th,34,90th,paused,False
curvature_mean_hips_w_paused_abs_IQR,58,IQR,paused,False
curvature_mean_midbody_abs_10th,50,10th,none,False
curvature_mean_midbody_abs_50th,30,50th,none,False
curvature_mean_midbody_abs_90th,18,90th,none,False
