source_slot,source_well,destination_slot,destination_well,volume
2,F2,10,F9,3
2,G2,10,G9,3
2,H2,10,H9,3
2,A3,10,A3,3
2,B3,10,B3,3
2,C3,10,C3,3
2,D3,10,D3,3
2,E3,10,E3,3
2,F3,10,F3,3
2,G3,10,G3,3
2,H3,10,H3,3
2,A4,10,A4,3
2,B4,10,B4,3
2,C4,10,C4,3
2,D4,10,D4,3
2,E4,10,E4,3
2,F4,10,F4,3
2,G4,10,G4,3
2,H4,10,H4,3
2,A5,10,A10,3
2,B5,10,B10,3
2,C5,10,C10,3
2,D5,10,D10,3
2,E5,10,E10,3
2,F5,10,F10,3
2,G5,10,G10,3
2,H5,10,H10,3
2,A6,10,A11,3
2,B6,10,B11,3
2,C6,10,C11,3
2,D6,10,D11,3
2,E6,10,E11,3
2,F6,10,F11,3
2,G6,10,G11,3
2,H6,10,H11,3
2,A7,10,A7,3
2,B7,10,B7,3
2,C7,10,C7,3
2,D7,10,D7,3
2,E7,10,E7,3
2,F7,10,F7,3
2,G7,10,G7,3
2,H7,10,H7,3
2,A8,10,A6,3
2,B8,10,B6,3
2,C8,10,C6,3
2,D8,10,D6,3
2,E8,10,E6,3
2,F8,10,F6,3
2,G8,10,G6,3
2,H8,10,H6,3
2,A9,10,A5,3
2,B9,10,B5,3
2,C9,10,C5,3
2,D9,10,D5,3
2,E9,10,E5,3
2,F9,10,F5,3
2,G9,10,G5,3
2,H9,10,H5,3
2,A10,10,A8,3
2,B10,10,B8,3
2,C10,10,C8,3
2,D10,10,D8,3
2,E10,10,E8,3
2,F10,10,F8,3
2,G10,10,G8,3
2,H10,10,H8,3
2,A11,10,A12,3
2,B11,10,B12,3
2,C11,10,C12,3
2,D11,10,D12,3
2,E11,10,E12,3
2,F11,10,F12,3
2,G11,10,G12,3
2,H11,10,H12,3
2,A12,10,A1,3
2,B12,10,B1,3
2,C12,10,C1,3
2,D12,10,D1,3
2,E12,10,E1,3
2,F12,10,F1,3
2,G12,10,G1,3
2,H12,10,H1,3
9,A1,11,A7,5
9,B1,11,B7,5
9,C1,11,C7,5
9,D1,11,D7,5
9,E1,11,E7,5
9,F1,11,F7,5
9,G1,11,G7,5
9,H1,11,H7,5
9,A1,11,A10,5
9,B1,11,B10,5
9,C1,11,C10,5
9,D1,11,D10,5
9,E1,11,E10,5
9,F1,11,F10,5
9,G1,11,G10,5
9,H1,11,H10,5
9,A1,11,A3,5
9,B1,11,B3,5
9,C1,11,C3,5
9,D1,11,D3,5
9,E1,11,E3,5
9,F1,11,F3,5
9,G1,11,G3,5
9,H1,11,H3,5
9,A1,11,A1,5
9,B1,11,B1,5
9,C1,11,C1,5
9,D1,11,D1,5
9,E1,11,E1,5
9,F1,11,F1,5
9,G1,11,G1,5
9,H1,11,H1,5
9,A1,11,A5,5
9,B1,11,B5,5
9,C1,11,C5,5
9,D1,11,D5,5
9,E1,11,E5,5
9,F1,11,F5,5
9,G1,11,G5,5
9,H1,11,H5,5
9,A1,11,A2,5
9,B1,11,B2,5
9,C1,11,C2,5
9,D1,11,D2,5
9,E1,11,E2,5
9,F1,11,F2,5
9,G1,11,G2,5
9,H1,11,H2,5
9,A1,11,A12,5
9,B1,11,B12,5
9,C1,11,C12,5
9,D1,11,D12,5
9,E1,11,E12,5
9,F1,11,F12,5
9,G1,11,G12,5
9,H1,11,H12,5
9,A1,11,A8,5
9,B1,11,B8,5
9,C1,11,C8,5
9,D1,11,D8,5
9,E1,11,E8,5
9,F1,11,F8,5
9,G1,11,G8,5
9,H1,11,H8,5
9,A1,11,A9,5
9,B1,11,B9,5
9,C1,11,C9,5
9,D1,11,D9,5
9,E1,11,E9,5
9,F1,11,F9,5
9,G1,11,G9,5
9,H1,11,H9,5
9,A1,11,A11,5
9,B1,11,B11,5
9,C1,11,C11,5
9,D1,11,D11,5
9,E1,11,E11,5
9,F1,11,F11,5
9,G1,11,G11,5
9,H1,11,H11,5
9,A1,11,A6,5
9,B1,11,B6,5
9,C1,11,C6,5
9,D1,11,D6,5
9,E1,11,E6,5
9,F1,11,F6,5
9,G1,11,G6,5
9,H1,11,H6,5
9,A1,11,A4,5
9,B1,11,B4,5
9,C1,11,C4,5
9,D1,11,D4,5
9,E1,11,E4,5
9,F1,11,F4,5
9,G1,11,G4,5
9,H1,11,H4,5
2,A1,11,A7,3
2,B1,11,B7,3
2,C1,11,C7,3
2,D1,11,D7,3
2,E1,11,E7,3
2,F1,11,F7,3
2,G1,11,G7,3
2,H1,11,H7,3
2,A2,11,A10,3
2,B2,11,B10,3
2,C2,11,C10,3
2,D2,11,D10,3
2,E2,11,E10,3
2,F2,11,F10,3
2,G2,11,G10,3
2,H2,11,H10,3
2,A3,11,A3,3
2,B3,11,B3,3
2,C3,11,C3,3
2,D3,11,D3,3
2,E3,11,E3,3
2,F3,11,F3,3
2,G3,11,G3,3
2,H3,11,H3,3
2,A4,11,A1,3
2,B4,11,B1,3
2,C4,11,C1,3
2,D4,11,D1,3
2,E4,11,E1,3
2,F4,11,F1,3
2,G4,11,G1,3
2,H4,11,H1,3
2,A5,11,A5,3
2,B5,11,B5,3
2,C5,11,C5,3
2,D5,11,D5,3
2,E5,11,E5,3
2,F5,11,F5,3
2,G5,11,G5,3
2,H5,11,H5,3
2,A6,11,A2,3
2,B6,11,B2,3
2,C6,11,C2,3
2,D6,11,D2,3
2,E6,11,E2,3
2,F6,11,F2,3
2,G6,11,G2,3
2,H6,11,H2,3
2,A7,11,A12,3
2,B7,11,B12,3
2,C7,11,C12,3
2,D7,11,D12,3
2,E7,11,E12,3
2,F7,11,F12,3
2,G7,11,G12,3
2,H7,11,H12,3
2,A8,11,A8,3
2,B8,11,B8,3
2,C8,11,C8,3
2,D8,11,D8,3
2,E8,11,E8,3
2,F8,11,F8,3
2,G8,11,G8,3
2,H8,11,H8,3
2,A9,11,A9,3
2,B9,11,B9,3
2,C9,11,C9,3
2,D9,11,D9,3
