masked_video,run_number,wells_checked
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155311.22956812/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155311.22956809/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155311.22956831/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155311.22956811/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155354.22956829/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155354.22956839/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155354.22956837/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155354.22956806/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155354.22956836/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155354.22956822/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155417.22956813/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155417.22956805/metadata.hdf5,4,TRUE
/Volumes/behavgenom$/Ida/Data/Hydra/SyngentaScreen/MaskedVideos/20191213/syngenta_screen_run4_prestim_20191213_155417.22956832/metadata.hdf5,4,TRUE
